code;vidaB;atkB;defB;vida%;atk%;def%;em;er;BnE;BnF;BnC;PC;DC
1;13226;251;876;0;0;0;0;100;28.8;0;0;5;50
2;12397;191;771;0;0;0;0;126.7;0;0;0;5;50
3;14695;239;769;0;0;0;0;100;0;0;22.2;5;50
4;13348;297;807;0;0;0;115.2;100;0;0;0;5;50
5;11636;223;792;0;0;0;0;126.7;0;0;0;5;50
6;12858;342;784;0;0;0;0;100;0;0;0;5;88.4
7;13715;299;769;0;0;0;0;100;0;0;0;5;88.4
8;13103;323;799;0;0;0;0;100;0;0;0;5;88.4
9;12368;287;922;22.2;0;0;0;0;100;0;0;22.2;5;50
10;10222;202;758;0;24;0;0;100;0;0;0;5;50
11;10875;212;683;0;24;0;0;100;0;0;0;5;50
